experience_level,(All),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sum of salary_min_usd,Column Labels,,,,,,,,,,,,,,,
Row Labels,Adobe,Amazon,FinTechHub,Google,IBM,Meta,Microsoft,Netflix,Oracle,Salesforce,StartupX,Tesla,Grand Total,,,
AI Researcher,699772,352084,265194,541404,331977,207886,566986,204234,143417,80841,358297,323728,4075820,,,
Business Analyst,403001,689653,558544,381954,198971,523944,217471,356163,296770,107961,106349,186434,4027215,,,
Data Analyst,185345,331937,376041,717691,350324,531135,549032,344151,368006,176967,420543,642804,4993976,,,
Data Scientist,456307,333895,505559,285678,629762,114788,184040,658495,201947,240893,169909,63491,3844764,,,
DevOps Engineer,313147,672763,611280,378458,387811,298382,75825,143335,840957,409775,221314,,4353047,,,
Full Stack Developer,241454,372799,276808,135625,333075,528048,323534,510430,672342,653209,253301,155941,4456566,,,
Machine Learning Engineer,615046,438021,426260,359575,215686,574966,310153,184401,,465395,170688,286461,4046652,,,
Marketing Analyst,618786,262565,122748,373302,686736,401262,374821,308882,594927,360317,414542,272974,4791862,,,
Product Manager,575294,593319,407342,101877,276695,330268,456611,311528,174315,361120,509269,,4097638,,,
Software Engineer,172903,188540,122553,489002,112784,499770,470070,374703,277718,612820,404659,310065,4035587,,,
Grand Total,4281055,4235576,3672329,3764566,3523821,4010449,3528543,3396322,3570399,3469298,3028871,2241898,42723127,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of remote_allowed,Column Labels,,,,,,,,,,,,,,,
Row Labels,AI Researcher,Business Analyst,Data Analyst,Data Scientist,DevOps Engineer,Full Stack Developer,Machine Learning Engineer,Marketing Analyst,Product Manager,Software Engineer,Grand Total,,,,,
Adobe,7,5,2,5,3,3,7,7,7,2,48,,,,,
Amazon,4,8,4,4,8,4,4,3,6,2,47,,,,,
FinTechHub,3,7,4,6,7,3,5,2,5,2,44,,,,,
Google,7,5,8,4,4,2,4,5,1,6,46,,,,,
IBM,4,2,5,8,5,4,3,8,3,1,43,,,,,
Meta,3,7,7,1,3,6,6,5,4,6,48,,,,,
Microsoft,6,3,6,2,1,4,4,4,5,5,40,,,,,
Netflix,2,4,4,8,2,6,2,4,4,4,40,,,,,
Oracle,2,3,5,3,8,8,,6,2,4,41,,,,,
Salesforce,1,1,2,3,5,7,5,4,4,7,39,,,,,
StartupX,4,1,5,2,3,3,2,5,6,5,36,,,,,
Tesla,4,2,7,1,,2,4,4,,4,28,,,,,
Grand Total,47,48,59,47,49,52,46,57,47,48,500,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Row Labels,Count of location,,industry,E-commerce,,,,,,,,,,,,
Austin,53,,,,,,,,,,,,,,,
Bangalore,73,,Sum of salary_max_usd,Column Labels,,,,,,,,,,,,
Berlin,50,,Row Labels,Adobe,Amazon,FinTechHub,Google,IBM,Meta,Microsoft,Netflix,Oracle,Salesforce,StartupX,Tesla,Grand Total
London,54,,Contract,571323,594743,107492,213441,510145,243436,,,99708,436148,388359,110735,3275530
New York,53,,Full-time,343470,149825,241296,296938,326074,108814,611321,317784,242182,95877,224147,137183,3094911
Remote,51,,Internship,117381,99836,450395,492315,,275395,,101936,238471,251855,262960,115791,2406335
San Francisco,60,,Part-time,98963,297224,263415,377291,758410,221049,293627,342435,412164,,243487,,3308065
Seattle,54,,Grand Total,1131137,1141628,1062598,1379985,1594629,848694,904948,762155,992525,783880,1118953,363709,12084841
Toronto,52,,,,,,,,,,,,,,,
Grand Total,500,,,,,,,,,,,,,,,
