job_id,job_title,company,location,employment_type,experience_level,industry,skills_required,salary_min_usd,salary_max_usd,remote_allowed,posted_date
1,Product Manager,Meta,Austin,Full-time,Entry level,Education,"Python, Node.js, SQL, JavaScript, Power BI, Machine Learning",53278,99326,TRUE,25-04-2023
2,Product Manager,Oracle,London,Full-time,Mid level,E-commerce,"AWS, Java, JavaScript, Azure, SQL",76062,141049,TRUE,28-07-2024
3,Machine Learning Engineer,Salesforce,London,Full-time,Director,Education,"Node.js, Docker, SQL",62676,119728,FALSE,25-01-2024
4,Data Analyst,StartupX,Seattle,Contract,Entry level,Finance,"Docker, AWS, Kubernetes",75203,94319,FALSE,06-01-2024
5,Product Manager,StartupX,London,Full-time,Mid level,Education,"Java, Kubernetes, Docker, AWS",98520,155086,TRUE,16-06-2023
6,Data Analyst,Tesla,Toronto,Contract,Entry level,Finance,"JavaScript, Excel, Kubernetes, Docker, React",57331,97352,FALSE,29-11-2023
7,Product Manager,FinTechHub,Remote,Contract,Director,Education,"Azure, JavaScript, Java, Machine Learning, Kubernetes, SQL",84718,113019,TRUE,27-05-2023
8,DevOps Engineer,Salesforce,San Francisco,Internship,Director,Education,"Machine Learning, AWS, Node.js, Python, Excel, SQL",70033,101002,FALSE,23-04-2023
9,DevOps Engineer,Amazon,Bangalore,Full-time,Senior level,Education,"Machine Learning, SQL, Excel, AWS",64621,113090,TRUE,15-12-2023
10,Marketing Analyst,Adobe,New York,Contract,Director,Technology,"Node.js, Azure, Tableau",99009,130183,FALSE,06-06-2023
11,AI Researcher,Microsoft,San Francisco,Internship,Entry level,Education,"Java, Excel, Kubernetes, Machine Learning",57592,99163,TRUE,03-09-2023
12,Product Manager,Adobe,Seattle,Contract,Director,Healthcare,"Node.js, Machine Learning, Kubernetes, SQL, JavaScript, Excel",119163,184624,TRUE,29-09-2023
13,AI Researcher,Meta,New York,Full-time,Entry level,Finance,"Node.js, Python, Azure",52757,92918,TRUE,13-12-2023
14,Full Stack Developer,Meta,Remote,Part-time,Director,Finance,"Tableau, Docker, JavaScript, SQL, Power BI, React",81195,127695,FALSE,10-06-2024
15,Data Analyst,StartupX,San Francisco,Full-time,Director,Healthcare,"JavaScript, Node.js, React",103883,175096,FALSE,09-03-2024
16,Business Analyst,Oracle,Seattle,Full-time,Director,Education,"Python, Excel, Machine Learning",105296,139346,TRUE,24-05-2023
17,DevOps Engineer,Oracle,Bangalore,Part-time,Director,Technology,"Docker, Python, Node.js, AWS",80982,112780,FALSE,06-04-2023
18,Software Engineer,Meta,London,Part-time,Entry level,Education,"Power BI, Azure, Python",105444,179232,TRUE,20-10-2023
19,Marketing Analyst,Amazon,New York,Full-time,Mid level,Technology,"Excel, React, JavaScript",112493,188402,FALSE,21-08-2024
20,AI Researcher,Microsoft,Toronto,Contract,Senior level,Finance,"JavaScript, AWS, Docker, Java, Excel",82271,97480,FALSE,03-05-2023
21,Data Analyst,Oracle,San Francisco,Full-time,Mid level,Education,"Java, Azure, SQL, JavaScript, React",91441,110949,FALSE,13-04-2024
22,AI Researcher,StartupX,Remote,Full-time,Senior level,Technology,"AWS, SQL, React, Power BI",107433,157084,TRUE,11-06-2023
23,Machine Learning Engineer,Meta,London,Internship,Senior level,Technology,"Excel, Docker, AWS",86930,124537,TRUE,06-10-2023
24,Business Analyst,Amazon,Bangalore,Internship,Entry level,Technology,"Node.js, Power BI, Java",93719,120865,TRUE,04-01-2023
25,Software Engineer,Google,London,Contract,Entry level,Healthcare,"Excel, JavaScript, Node.js, SQL",69410,135743,FALSE,14-01-2024
26,Product Manager,Amazon,Austin,Internship,Entry level,Finance,"Tableau, Docker, Node.js, Excel, JavaScript",103264,133521,FALSE,27-07-2024
27,Data Analyst,Oracle,Seattle,Part-time,Director,Healthcare,"React, Tableau, JavaScript, Node.js, Python",64168,124308,TRUE,13-06-2023
